filter completed in 15.936100959777832 s
filter completed in 16.478416919708252 s
         15378121 function calls (15376161 primitive calls) in 32.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      788    4.225    0.005    4.225    0.005 {method 'acquire' of '_thread.lock' objects}
    60368    3.497    0.000    9.678    0.000 dagcircuit.py:292(apply_operation_back)
   241472    1.316    0.000    3.521    0.000 copy.py:66(copy)
  1576240    1.155    0.000    1.175    0.000 {built-in method builtins.isinstance}
   930412    0.671    0.000    0.671    0.000 bit.py:75(__hash__)
    60368    0.661    0.000    1.203    0.000 assemble_circuits.py:71(<listcomp>)
   244216    0.652    0.000    2.235    0.000 {built-in method builtins.all}
    60760    0.608    0.000    1.107    0.000 quantumcircuit.py:581(_update_parameter_table)
   814205    0.572    0.000    0.572    0.000 {built-in method builtins.hasattr}
   369656    0.566    0.000    1.022    0.000 retworkx_dagcircuit.py:62(_add_multi_graph_edge)
   120736    0.555    0.000    1.180    0.000 copy.py:268(_reconstruct)
   181692    0.549    0.000    0.814    0.000 register.py:98(__repr__)
   267344    0.541    0.000    0.898    0.000 dagnode.py:104(__hash__)
   741272    0.524    0.000    0.524    0.000 register.py:74(name)
   737744    0.521    0.000    0.521    0.000 bit.py:49(register)
    38612    0.496    0.000    0.918    0.000 instruction.py:209(<listcomp>)
     1568    0.490    0.000    2.167    0.001 dagcircuit.py:1237(collect_runs)
   244020    0.481    0.000    1.018    0.000 quantumcircuit.py:644(<genexpr>)
   369656    0.456    0.000    0.456    0.000 {method 'add_edge' of 'retworkx.PyDAG' objects}
   183260    0.431    0.000    0.928    0.000 retworkx_dagcircuit.py:120(predecessors)
     1960    0.426    0.000    0.650    0.000 {lexicographical_topological_sort}
    66640    0.425    0.000    1.715    0.000 dagnode.py:34(__init__)
   181692    0.423    0.000    1.237    0.000 bit.py:71(__repr__)
    60760    0.393    0.000    4.680    0.000 quantumcircuit.py:549(_append)
   552916    0.389    0.000    0.389    0.000 bit.py:60(index)
   120736    0.372    0.000    3.893    0.000 instruction.py:292(__deepcopy__)
   183260    0.342    0.000    0.342    0.000 {method 'predecessors' of 'retworkx.PyDAG' objects}
    60368    0.331    0.000    1.387    0.000 instruction.py:203(assemble)
   182280    0.327    0.000    0.537    0.000 _collections_abc.py:879(__iter__)
    60760    0.316    0.000    0.534    0.000 quantumcircuit.py:634(_check_dups)
      392    0.310    0.001    3.548    0.009 assemble_circuits.py:22(_assemble_circuit)
   273630    0.307    0.000    0.307    0.000 {built-in method builtins.getattr}
   244020    0.306    0.000    0.431    0.000 quantumcircuit.py:642(<genexpr>)
      392    0.302    0.001    7.228    0.018 dag_to_circuit.py:19(dag_to_circuit)
   401804    0.298    0.000    0.298    0.000 {method 'get' of 'dict' objects}
   184828    0.286    0.000    0.413    0.000 quantumcircuit.py:227(has_register)
   120736    0.268    0.000    0.397    0.000 dagcircuit.py:246(_check_bits)
   183260    0.249    0.000    0.249    0.000 {method 'remove_edge' of 'retworkx.PyDAG' objects}
   347907    0.245    0.000    0.245    0.000 {built-in method builtins.len}
    60368    0.241    0.000    2.143    0.000 dagcircuit.py:275(_add_op_node)
   303800    0.236    0.000    0.236    0.000 dagcircuit.py:742(<genexpr>)
   333200    0.225    0.000    0.225    0.000 retworkx_dagcircuit.py:109(_key)
      392    0.219    0.001   12.406    0.032 circuit_to_dag.py:20(circuit_to_dag)
   182280    0.210    0.000    0.210    0.000 quantumcircuitdata.py:31(__getitem__)
   120736    0.207    0.000    0.302    0.000 copyreg.py:87(__newobj__)
   120736    0.204    0.000    4.097    0.000 instruction.py:274(copy)
    60760    0.199    0.000    2.099    0.000 quantumcircuit.py:640(_check_qargs)
   120736    0.195    0.000    0.195    0.000 {method '__reduce_ex__' of 'object' objects}
   274792    0.187    0.000    0.187    0.000 {built-in method builtins.hash}
   275580    0.183    0.000    0.183    0.000 {built-in method builtins.id}
   209524    0.177    0.000    0.177    0.000 {built-in method builtins.iter}
   249704    0.176    0.000    0.176    0.000 {method 'append' of 'list' objects}
    60760    0.170    0.000    0.461    0.000 quantumcircuit.py:647(_check_cargs)
   183260    0.163    0.000    0.163    0.000 {method 'index' of 'list' objects}
      784    0.152    0.000    0.295    0.000 dagcircuit.py:961(op_nodes)
     7448    0.147    0.000    0.253    0.000 inspect.py:2879(_bind)
   122311    0.144    0.000    0.144    0.000 {method 'update' of 'dict' objects}
   185612    0.137    0.000    0.137    0.000 register.py:86(size)
    66640    0.135    0.000    0.229    0.000 retworkx_dagcircuit.py:50(_add_multi_graph_node)
   159740    0.120    0.000    0.120    0.000 instruction.py:132(params)
     7448    0.105    0.000    0.345    0.000 inspect.py:2117(_signature_from_function)
   120736    0.104    0.000    0.104    0.000 dagnode.py:61(op)
   120736    0.098    0.000    0.098    0.000 {method 'copy' of 'list' objects}
   121128    0.095    0.000    0.095    0.000 {built-in method __new__ of type object at 0x7f166b450240}
    66640    0.094    0.000    0.094    0.000 {method 'add_node' of 'retworkx.PyDAG' objects}
    60760    0.092    0.000    0.248    0.000 assemble_circuits.py:60(<genexpr>)
   120737    0.090    0.000    0.090    0.000 {built-in method builtins.issubclass}
     7448    0.071    0.000    0.509    0.000 inspect.py:2198(_signature_from_callable)
      784    0.067    0.000    0.067    0.000 {dag_longest_path_length}
    60368    0.064    0.000    0.064    0.000 qasm_qobj.py:41(__init__)
     7448    0.063    0.000    0.915    0.000 basepasses.py:35(_freeze_init_parameters)
    60760    0.060    0.000    0.062    0.000 {method 'union' of 'set' objects}
    13720    0.060    0.000    0.120    0.000 inspect.py:2467(__init__)
        2    0.059    0.029   32.415   16.207 quantum_pipe.py:86(conv)
    19796    0.057    0.000    0.191    0.000 gate.py:85(assemble)
     7448    0.050    0.000    1.003    0.000 basepasses.py:30(__call__)
     3136    0.048    0.000    0.122    0.000 dagcircuit.py:202(_add_wire)
    62328    0.047    0.000    0.054    0.000 quantumcircuit.py:651(<genexpr>)
    62328    0.047    0.000    0.048    0.000 quantumcircuit.py:649(<genexpr>)
    60368    0.046    0.000    0.046    0.000 dagnode.py:72(qargs)
     1569    0.045    0.000    0.296    0.000 {built-in method builtins.any}
    60368    0.045    0.000    0.045    0.000 dagcircuit.py:264(_bits_in_condition)
      392    0.044    0.000    0.142    0.000 unroller.py:39(run)
    60368    0.043    0.000    0.043    0.000 dagcircuit.py:232(_check_condition)
     3920    0.042    0.000    2.789    0.001 runningpassmanager.py:152(_run_this_pass)
    12544    0.042    0.000    0.070    0.000 register.py:106(__getitem__)
      392    0.041    0.000   22.592    0.058 passmanager.py:257(_run_single_circuit)
     7448    0.040    0.000    0.078    0.000 inspect.py:2750(__init__)
      784    0.038    0.000    1.243    0.002 cx_cancellation.py:23(run)
     6272    0.036    0.000    0.135    0.000 postprocess.py:48(format_counts_memory)
     1960    0.034    0.000    0.061    0.000 base.py:127(dump_additional_data)
