filter completed in 16.119680404663086 s
filter completed in 16.72810435295105 s
IMAGE COMPLETED: 1 of 2
filter completed in 35.63704514503479 s
filter completed in 36.4747998714447 s
IMAGE COMPLETED: 2 of 2
         56298822 function calls (56230494 primitive calls) in 117.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   197568   12.960    0.000   35.578    0.000 dagcircuit.py:292(apply_operation_back)
     1574   11.447    0.007   11.447    0.007 {method 'acquire' of '_thread.lock' objects}
  6092954    4.408    0.000    4.763    0.000 {built-in method builtins.isinstance}
   791213    4.306    0.000   11.749    0.000 copy.py:66(copy)
        1    3.576    3.576    5.146    5.146 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
  3397615    2.409    0.000    2.409    0.000 bit.py:75(__hash__)
   198472    2.242    0.000    4.119    0.000 quantumcircuit.py:581(_update_parameter_table)
807807/807806    2.181    0.000    7.689    0.000 {built-in method builtins.all}
   197568    2.117    0.000    3.851    0.000 assemble_circuits.py:71(<listcomp>)
  1353968    2.109    0.000    3.813    0.000 retworkx_dagcircuit.py:62(_add_multi_graph_edge)
396071/396070    1.995    0.000    4.045    0.000 copy.py:268(_reconstruct)
   670712    1.989    0.000    2.966    0.000 register.py:98(__repr__)
3157574/3157454    1.960    0.000    1.984    0.000 {built-in method builtins.hasattr}
  2711872    1.868    0.000    1.868    0.000 register.py:74(name)
  2704959    1.849    0.000    1.849    0.000 bit.py:49(register)
  1353968    1.704    0.000    1.704    0.000 {method 'add_edge' of 'retworkx.PyDAG' objects}
   872471    1.698    0.000    3.604    0.000 quantumcircuit.py:644(<genexpr>)
   842016    1.695    0.000    2.816    0.000 dagnode.py:104(__hash__)
   154056    1.679    0.000    3.124    0.000 instruction.py:209(<listcomp>)
   673848    1.605    0.000    3.530    0.000 retworkx_dagcircuit.py:120(predecessors)
   670712    1.555    0.000    4.521    0.000 bit.py:71(__repr__)
     3136    1.482    0.000    6.644    0.002 dagcircuit.py:1237(collect_runs)
   210112    1.482    0.000    6.170    0.000 dagnode.py:34(__init__)
  2027816    1.374    0.000    1.374    0.000 bit.py:60(index)
     3920    1.307    0.000    2.007    0.001 {lexicographical_topological_sort}
   198472    1.242    0.000   16.325    0.000 quantumcircuit.py:549(_append)
   197568    1.241    0.000    4.779    0.000 instruction.py:203(assemble)
   673848    1.239    0.000    1.239    0.000 {method 'predecessors' of 'retworkx.PyDAG' objects}
1235174/1235138    1.232    0.000    1.247    0.000 {built-in method builtins.getattr}
   395136    1.206    0.000   12.938    0.000 instruction.py:292(__deepcopy__)
   872471    1.075    0.000    1.520    0.000 quantumcircuit.py:642(<genexpr>)
   198472    1.069    0.000    1.816    0.000 quantumcircuit.py:634(_check_dups)
   595060    1.005    0.000    1.659    0.000 _collections_abc.py:879(__iter__)
   677143    1.004    0.000    1.451    0.000 quantumcircuit.py:227(has_register)
      784    0.961    0.001   24.680    0.031 dag_to_circuit.py:19(dag_to_circuit)
  1315849    0.957    0.000    0.958    0.000 {method 'get' of 'dict' objects}
   395136    0.953    0.000    1.430    0.000 dagcircuit.py:246(_check_bits)
   673848    0.928    0.000    0.928    0.000 {method 'remove_edge' of 'retworkx.PyDAG' objects}
1338118/1331122    0.908    0.000    0.917    0.000 {built-in method builtins.len}
      784    0.868    0.001   11.287    0.014 assemble_circuits.py:22(_assemble_circuit)
   197568    0.821    0.000    7.652    0.000 dagcircuit.py:275(_add_op_node)
   991760    0.758    0.000    0.758    0.000 dagcircuit.py:742(<genexpr>)
   198472    0.734    0.000    7.404    0.000 quantumcircuit.py:640(_check_qargs)
   726772    0.731    0.000    0.731    0.000 {built-in method builtins.iter}
      784    0.729    0.001   44.460    0.057 circuit_to_dag.py:20(circuit_to_dag)
  1050560    0.700    0.000    0.700    0.000 retworkx_dagcircuit.py:109(_key)
   396071    0.666    0.000    0.979    0.000 copyreg.py:87(__newobj__)
   595060    0.654    0.000    0.654    0.000 quantumcircuitdata.py:31(__getitem__)
   395136    0.652    0.000   13.590    0.000 instruction.py:274(copy)
921092/918731    0.612    0.000    0.615    0.000 {built-in method builtins.hash}
   396071    0.611    0.000    0.611    0.000 {method '__reduce_ex__' of 'object' objects}
   860760    0.570    0.000    0.570    0.000 {built-in method builtins.id}
   871953    0.564    0.000    0.564    0.000 {method 'append' of 'list' objects}
   198472    0.551    0.000    1.459    0.000 quantumcircuit.py:647(_check_cargs)
   673852    0.509    0.000    0.509    0.000 {method 'index' of 'list' objects}
     3069    0.504    0.000    0.662    0.000 <frozen importlib._bootstrap_external>:914(get_data)
   678586    0.500    0.000    0.500    0.000 register.py:86(size)
   404094    0.492    0.000    0.495    0.000 {method 'update' of 'dict' objects}
     1568    0.488    0.000    0.947    0.001 dagcircuit.py:961(op_nodes)
